cell_id,table_name,row_index,column,competitor,value,evidence_ids
基础产品定位与形态对比_0_竞品名称,基础产品定位与形态对比,0,竞品名称,通义灵码,通义灵码,"[""ev_062""]"
基础产品定位与形态对比_0_官方产品定位,基础产品定位与形态对比,0,官方产品定位,通义灵码,AI智能体产品系列，全流程智能编码辅助工具，覆盖软件开发+日常办公场景,"[""ev_062""]"
基础产品定位与形态对比_0_目标用户群体,基础产品定位与形态对比,0,目标用户群体,通义灵码,全量个人开发者、中小研发团队、中大型企业研发部门,"[""ev_062""]"
基础产品定位与形态对比_0_核心使用场景,基础产品定位与形态对比,0,核心使用场景,通义灵码,代码补全、全流程开发、企业知识库增强、阿里云云服务场景适配,"[""ev_062""]"
基础产品定位与形态对比_0_当前产品形态矩阵,基础产品定位与形态对比,0,当前产品形态矩阵,通义灵码,JetBrains/VS Code/Visual Studio插件、独立IDE、桌面应用、CLI终端工具,"[""ev_062""]"
基础产品定位与形态对比_0_底层大模型支持范围,基础产品定位与形态对比,0,底层大模型支持范围,通义灵码,支持通义千问、GLM、DeepSeek、Kimi、MiniMax等多模型切换,"[""ev_062""]"
基础产品定位与形态对比_0_证据ID,基础产品定位与形态对比,0,证据ID,通义灵码,"[""ev_062""]","[""ev_062""]"
基础产品定位与形态对比_1_竞品名称,基础产品定位与形态对比,1,竞品名称,CodeGeeX,CodeGeeX,"[""ev_062""]"
基础产品定位与形态对比_1_官方产品定位,基础产品定位与形态对比,1,官方产品定位,CodeGeeX,待搜索（方向：检索CodeGeeX官方首页产品定位公开说明；关键词：CodeGeeX 官方产品定位）,"[""ev_062""]"
基础产品定位与形态对比_1_目标用户群体,基础产品定位与形态对比,1,目标用户群体,CodeGeeX,待搜索（方向：检索CodeGeeX官方用户画像公开文档；关键词：CodeGeeX 目标用户分层）,"[""ev_062""]"
基础产品定位与形态对比_1_核心使用场景,基础产品定位与形态对比,1,核心使用场景,CodeGeeX,待搜索（方向：检索CodeGeeX官方场景介绍页面；关键词：CodeGeeX 核心场景覆盖）,"[""ev_062""]"
基础产品定位与形态对比_1_当前产品形态矩阵,基础产品定位与形态对比,1,当前产品形态矩阵,CodeGeeX,待搜索（方向：检索CodeGeeX官方下载页全产品形态清单；关键词：CodeGeeX 产品矩阵）,"[""ev_062""]"
基础产品定位与形态对比_1_底层大模型支持范围,基础产品定位与形态对比,1,底层大模型支持范围,CodeGeeX,待搜索（方向：检索CodeGeeX官方模型能力说明文档；关键词：CodeGeeX 大模型支持范围）,"[""ev_062""]"
基础产品定位与形态对比_1_证据ID,基础产品定位与形态对比,1,证据ID,CodeGeeX,"[""ev_062""]","[""ev_062""]"
基础产品定位与形态对比_2_竞品名称,基础产品定位与形态对比,2,竞品名称,CodeBuddy,CodeBuddy,"[""ev_062""]"
基础产品定位与形态对比_2_官方产品定位,基础产品定位与形态对比,2,官方产品定位,CodeBuddy,待搜索（方向：检索CodeBuddy官方首页产品定位公开说明；关键词：CodeBuddy 官方产品定位）,"[""ev_062""]"
基础产品定位与形态对比_2_目标用户群体,基础产品定位与形态对比,2,目标用户群体,CodeBuddy,待搜索（方向：检索CodeBuddy官方用户画像公开文档；关键词：CodeBuddy 目标用户分层）,"[""ev_062""]"
基础产品定位与形态对比_2_核心使用场景,基础产品定位与形态对比,2,核心使用场景,CodeBuddy,待搜索（方向：检索CodeBuddy官方场景介绍页面；关键词：CodeBuddy 核心场景覆盖）,"[""ev_062""]"
基础产品定位与形态对比_2_当前产品形态矩阵,基础产品定位与形态对比,2,当前产品形态矩阵,CodeBuddy,待搜索（方向：检索CodeBuddy官方下载页全产品形态清单；关键词：CodeBuddy 产品矩阵）,"[""ev_062""]"
基础产品定位与形态对比_2_底层大模型支持范围,基础产品定位与形态对比,2,底层大模型支持范围,CodeBuddy,待搜索（方向：检索CodeBuddy官方模型能力说明文档；关键词：CodeBuddy 大模型支持范围）,"[""ev_062""]"
基础产品定位与形态对比_2_证据ID,基础产品定位与形态对比,2,证据ID,CodeBuddy,"[""ev_062""]","[""ev_062""]"
个人版商业化与权益对比_0_竞品名称,个人版商业化与权益对比,0,竞品名称,通义灵码,通义灵码,"[""ev_062""]"
个人版商业化与权益对比_0_个人免费版权益规则,个人版商业化与权益对比,0,个人免费版权益规则,通义灵码,每日50次代码生成、30次问答、10次单元测试，轻量操作不计费,"[""ev_062""]"
个人版商业化与权益对比_0_个人付费版定价,个人版商业化与权益对比,0,个人付费版定价,通义灵码,个人专业版59元/月,"[""ev_062""]"
个人版商业化与权益对比_0_额度重置规则,个人版商业化与权益对比,0,额度重置规则,通义灵码,每日0点重置，额度当日清零不支持累积,"[""ev_062""]"
个人版商业化与权益对比_0_特殊用户额外权益,个人版商业化与权益对比,0,特殊用户额外权益,通义灵码,学生/教师认证解锁每日100次生成+50次问答，新用户首72小时得200次体验包,"[""ev_062""]"
个人版商业化与权益对比_0_证据ID,个人版商业化与权益对比,0,证据ID,通义灵码,"[""ev_062""]","[""ev_062""]"
个人版商业化与权益对比_1_竞品名称,个人版商业化与权益对比,1,竞品名称,CodeGeeX,CodeGeeX,"[""ev_062""]"
个人版商业化与权益对比_1_个人免费版权益规则,个人版商业化与权益对比,1,个人免费版权益规则,CodeGeeX,待搜索（方向：检索CodeGeeX官方定价页个人免费版权益说明；关键词：CodeGeeX 免费配额规则）,"[""ev_062""]"
个人版商业化与权益对比_1_个人付费版定价,个人版商业化与权益对比,1,个人付费版定价,CodeGeeX,待搜索（方向：检索CodeGeeX官方定价页个人付费版定价信息；关键词：CodeGeeX 个人付费定价）,"[""ev_062""]"
个人版商业化与权益对比_1_额度重置规则,个人版商业化与权益对比,1,额度重置规则,CodeGeeX,待搜索（方向：检索CodeGeeX官方帮助中心额度规则说明；关键词：CodeGeeX 额度重置逻辑）,"[""ev_062""]"
个人版商业化与权益对比_1_特殊用户额外权益,个人版商业化与权益对比,1,特殊用户额外权益,CodeGeeX,待搜索（方向：检索CodeGeeX官方教育权益活动页面；关键词：CodeGeeX 特殊用户权益）,"[""ev_062""]"
个人版商业化与权益对比_1_证据ID,个人版商业化与权益对比,1,证据ID,CodeGeeX,"[""ev_062""]","[""ev_062""]"
个人版商业化与权益对比_2_竞品名称,个人版商业化与权益对比,2,竞品名称,CodeBuddy,CodeBuddy,"[""ev_062""]"
个人版商业化与权益对比_2_个人免费版权益规则,个人版商业化与权益对比,2,个人免费版权益规则,CodeBuddy,待搜索（方向：检索CodeBuddy官方定价页个人免费版权益说明；关键词：CodeBuddy 免费配额规则）,"[""ev_062""]"
个人版商业化与权益对比_2_个人付费版定价,个人版商业化与权益对比,2,个人付费版定价,CodeBuddy,待搜索（方向：检索CodeBuddy官方定价页个人付费版定价信息；关键词：CodeBuddy 个人付费定价）,"[""ev_062""]"
个人版商业化与权益对比_2_额度重置规则,个人版商业化与权益对比,2,额度重置规则,CodeBuddy,待搜索（方向：检索CodeBuddy官方帮助中心额度规则说明；关键词：CodeBuddy 额度重置逻辑）,"[""ev_062""]"
个人版商业化与权益对比_2_特殊用户额外权益,个人版商业化与权益对比,2,特殊用户额外权益,CodeBuddy,待搜索（方向：检索CodeBuddy官方教育权益活动页面；关键词：CodeBuddy 特殊用户权益）,"[""ev_062""]"
个人版商业化与权益对比_2_证据ID,个人版商业化与权益对比,2,证据ID,CodeBuddy,"[""ev_062""]","[""ev_062""]"
IDE集成兼容性能力对比_0_竞品名称,IDE集成兼容性能力对比,0,竞品名称,通义灵码,通义灵码,"[""ev_062""]"
IDE集成兼容性能力对比_0_支持的主流IDE清单,IDE集成兼容性能力对比,0,支持的主流IDE清单,通义灵码,支持VS Code、JetBrains全系列、Visual Studio,"[""ev_062""]"
IDE集成兼容性能力对比_0_插件冲突公开反馈故障率,IDE集成兼容性能力对比,0,插件冲突公开反馈故障率,通义灵码,公开反馈存在插件宿主崩溃、跨IDE同时安装初始化失败问题,"[""ev_062""]"
IDE集成兼容性能力对比_0_远程开发场景支持度,IDE集成兼容性能力对比,0,远程开发场景支持度,通义灵码,支持Remote SSH、Docker、WSL、Web IDE全远程开发场景,"[""ev_062""]"
IDE集成兼容性能力对比_0_独立Web端_桌面端支持情况,IDE集成兼容性能力对比,0,独立Web端/桌面端支持情况,通义灵码,提供独立Web端、桌面办公应用、CLI终端工具,"[""ev_062""]"
IDE集成兼容性能力对比_0_证据ID,IDE集成兼容性能力对比,0,证据ID,通义灵码,"[""ev_062""]","[""ev_062""]"
IDE集成兼容性能力对比_1_竞品名称,IDE集成兼容性能力对比,1,竞品名称,CodeGeeX,CodeGeeX,"[""ev_062""]"
IDE集成兼容性能力对比_1_支持的主流IDE清单,IDE集成兼容性能力对比,1,支持的主流IDE清单,CodeGeeX,待搜索（方向：检索CodeGeeX官方下载页支持IDE清单；关键词：CodeGeeX IDE适配范围）,"[""ev_062""]"
IDE集成兼容性能力对比_1_插件冲突公开反馈故障率,IDE集成兼容性能力对比,1,插件冲突公开反馈故障率,CodeGeeX,待搜索（方向：检索CodeGeeX GitHub Issue、开发者社区公开反馈；关键词：CodeGeeX 插件兼容性故障率）,"[""ev_062""]"
IDE集成兼容性能力对比_1_远程开发场景支持度,IDE集成兼容性能力对比,1,远程开发场景支持度,CodeGeeX,待搜索（方向：检索CodeGeeX官方帮助中心远程开发适配说明；关键词：CodeGeeX 远程场景支持能力）,"[""ev_062""]"
IDE集成兼容性能力对比_1_独立Web端_桌面端支持情况,IDE集成兼容性能力对比,1,独立Web端/桌面端支持情况,CodeGeeX,待搜索（方向：检索CodeGeeX官方产品介绍页；关键词：CodeGeeX 独立端支持情况）,"[""ev_062""]"
IDE集成兼容性能力对比_1_证据ID,IDE集成兼容性能力对比,1,证据ID,CodeGeeX,"[""ev_062""]","[""ev_062""]"
IDE集成兼容性能力对比_2_竞品名称,IDE集成兼容性能力对比,2,竞品名称,CodeBuddy,CodeBuddy,"[""ev_062""]"
IDE集成兼容性能力对比_2_支持的主流IDE清单,IDE集成兼容性能力对比,2,支持的主流IDE清单,CodeBuddy,待搜索（方向：检索CodeBuddy官方下载页支持IDE清单；关键词：CodeBuddy IDE适配范围）,"[""ev_062""]"
IDE集成兼容性能力对比_2_插件冲突公开反馈故障率,IDE集成兼容性能力对比,2,插件冲突公开反馈故障率,CodeBuddy,待搜索（方向：检索CodeBuddy GitHub Issue、开发者社区公开反馈；关键词：CodeBuddy 插件兼容性故障率）,"[""ev_062""]"
IDE集成兼容性能力对比_2_远程开发场景支持度,IDE集成兼容性能力对比,2,远程开发场景支持度,CodeBuddy,待搜索（方向：检索CodeBuddy官方帮助中心远程开发适配说明；关键词：CodeBuddy 远程场景支持能力）,"[""ev_062""]"
IDE集成兼容性能力对比_2_独立Web端_桌面端支持情况,IDE集成兼容性能力对比,2,独立Web端/桌面端支持情况,CodeBuddy,待搜索（方向：检索CodeBuddy官方产品介绍页；关键词：CodeBuddy 独立端支持情况）,"[""ev_062""]"
IDE集成兼容性能力对比_2_证据ID,IDE集成兼容性能力对比,2,证据ID,CodeBuddy,"[""ev_062""]","[""ev_062""]"
企业版商业化与部署能力对比_0_竞品名称,企业版商业化与部署能力对比,0,竞品名称,通义灵码,通义灵码,"[""ev_062""]"
