cell_id,table_name,row_index,column,competitor,value,evidence_ids
产品基础定位与核心场景对比_0_竞品,产品基础定位与核心场景对比,0,竞品,通义灵码,通义灵码,"[""ev_007"", ""ev_015""]"
产品基础定位与核心场景对比_0_核心优势场景,产品基础定位与核心场景对比,0,核心优势场景,通义灵码,阿里云云服务、SDK/OpenAPI相关业务代码开发精准度高,"[""ev_007"", ""ev_015""]"
产品基础定位与核心场景对比_0_适用边界短板,产品基础定位与核心场景对比,0,适用边界短板,通义灵码,非官方仿制插件易引发兼容故障，跨IDE插件易冲突，企业版调价后成本高,"[""ev_007"", ""ev_015""]"
产品基础定位与核心场景对比_0_evidence_ids,产品基础定位与核心场景对比,0,evidence_ids,通义灵码,"[""ev_007"", ""ev_015""]","[""ev_007"", ""ev_015""]"
产品基础定位与核心场景对比_1_竞品,产品基础定位与核心场景对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_064"", ""ev_067""]"
产品基础定位与核心场景对比_1_核心优势场景,产品基础定位与核心场景对比,1,核心优势场景,CodeGeeX,跨语言代码翻译、开源项目开发、教学实验场景准确率92%,"[""ev_064"", ""ev_067""]"
产品基础定位与核心场景对比_1_适用边界短板,产品基础定位与核心场景对比,1,适用边界短板,CodeGeeX,TypeScript类型推导易遗漏约束，复杂代码重构需人工介入校验,"[""ev_064"", ""ev_067""]"
产品基础定位与核心场景对比_1_evidence_ids,产品基础定位与核心场景对比,1,evidence_ids,CodeGeeX,"[""ev_064"", ""ev_067""]","[""ev_064"", ""ev_067""]"
产品基础定位与核心场景对比_2_竞品,产品基础定位与核心场景对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_026"", ""ev_028"", ""ev_029""]"
产品基础定位与核心场景对比_2_核心优势场景,产品基础定位与核心场景对比,2,核心优势场景,CodeBuddy,微信小程序、游戏、音视频开发场景专项优化适配效果突出,"[""ev_026"", ""ev_028"", ""ev_029""]"
产品基础定位与核心场景对比_2_适用边界短板,产品基础定位与核心场景对比,2,适用边界短板,CodeBuddy,生成代码自带Bug需人工修复，免费版额度耗尽后响应延迟飙升,"[""ev_026"", ""ev_028"", ""ev_029""]"
产品基础定位与核心场景对比_2_evidence_ids,产品基础定位与核心场景对比,2,evidence_ids,CodeBuddy,"[""ev_026"", ""ev_028"", ""ev_029""]","[""ev_026"", ""ev_028"", ""ev_029""]"
核心编码能力对比_0_竞品,核心编码能力对比,0,竞品,通义灵码,通义灵码,"[""ev_006"", ""ev_008"", ""ev_009"", ""ev_014""]"
核心编码能力对比_0_全链路编码能力,核心编码能力对比,0,全链路编码能力,通义灵码,支持跨文件生成、多文件协同编辑，接入MCP生态可自定义接入第三方大模型,"[""ev_006"", ""ev_008"", ""ev_009"", ""ev_014""]"
核心编码能力对比_0_实测提效表现,核心编码能力对比,0,实测提效表现,通义灵码,普通开发场景提效约30%，运维开发场景最高提效50%,"[""ev_006"", ""ev_008"", ""ev_009"", ""ev_014""]"
核心编码能力对比_0_evidence_ids,核心编码能力对比,0,evidence_ids,通义灵码,"[""ev_006"", ""ev_008"", ""ev_009"", ""ev_014""]","[""ev_006"", ""ev_008"", ""ev_009"", ""ev_014""]"
核心编码能力对比_1_竞品,核心编码能力对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_067"", ""ev_069""]"
核心编码能力对比_1_全链路编码能力,核心编码能力对比,1,全链路编码能力,CodeGeeX,支持300+编程语言，覆盖实时代码补全、仓库级问答、幽灵注释等功能,"[""ev_067"", ""ev_069""]"
核心编码能力对比_1_实测提效表现,核心编码能力对比,1,实测提效表现,CodeGeeX,社区反馈编码效率提升2倍以上，无公开大样本量化提效数据,"[""ev_067"", ""ev_069""]"
核心编码能力对比_1_evidence_ids,核心编码能力对比,1,evidence_ids,CodeGeeX,"[""ev_067"", ""ev_069""]","[""ev_067"", ""ev_069""]"
核心编码能力对比_2_竞品,核心编码能力对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_021"", ""ev_028"", ""ev_075""]"
核心编码能力对比_2_全链路编码能力,核心编码能力对比,2,全链路编码能力,CodeBuddy,支持Craft智能体模式自主生成多文件完整项目，全库透视梳理大项目依赖,"[""ev_021"", ""ev_028"", ""ev_075""]"
核心编码能力对比_2_实测提效表现,核心编码能力对比,2,实测提效表现,CodeBuddy,无公开大样本量化提效数据，单元测试生成覆盖率可达85%以上,"[""ev_021"", ""ev_028"", ""ev_075""]"
核心编码能力对比_2_evidence_ids,核心编码能力对比,2,evidence_ids,CodeBuddy,"[""ev_021"", ""ev_028"", ""ev_075""]","[""ev_021"", ""ev_028"", ""ev_075""]"
商业化定价对比_0_竞品,商业化定价对比,0,竞品,通义灵码,通义灵码,"[""ev_010"", ""ev_012""]"
商业化定价对比_0_免费版权益,商业化定价对比,0,免费版权益,通义灵码,每日50次代码生成、30次问答、10次单元测试，轻量操作不计费,"[""ev_010"", ""ev_012""]"
商业化定价对比_0_个人Pro定价,商业化定价对比,0,个人Pro定价,通义灵码,59元/月，教育用户可解锁更高额度,"[""ev_010"", ""ev_012""]"
商业化定价对比_0_企业版定价,商业化定价对比,0,企业版定价,通义灵码,标准版99元/人/月，VPC专属版199元/人/月，10人起购,"[""ev_010"", ""ev_012""]"
商业化定价对比_0_evidence_ids,商业化定价对比,0,evidence_ids,通义灵码,"[""ev_010"", ""ev_012""]","[""ev_010"", ""ev_012""]"
商业化定价对比_1_竞品,商业化定价对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_066"", ""ev_069""]"
商业化定价对比_1_免费版权益,商业化定价对比,1,免费版权益,CodeGeeX,全功能完全免费，无公开明确调用次数上限，无广告,"[""ev_066"", ""ev_069""]"
商业化定价对比_1_个人Pro定价,商业化定价对比,1,个人Pro定价,CodeGeeX,无公开个人付费档位，社区捐赠模式,"[""ev_066"", ""ev_069""]"
商业化定价对比_1_企业版定价,商业化定价对比,1,企业版定价,CodeGeeX,完全未披露具体定价，按需询价,"[""ev_066"", ""ev_069""]"
商业化定价对比_1_evidence_ids,商业化定价对比,1,evidence_ids,CodeGeeX,"[""ev_066"", ""ev_069""]","[""ev_066"", ""ev_069""]"
商业化定价对比_2_竞品,商业化定价对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_024"", ""ev_029"", ""ev_074""]"
商业化定价对比_2_免费版权益,商业化定价对比,2,免费版权益,CodeBuddy,每月2000次对话额度，Craft每日限20次，额度耗尽后延迟升至8-12秒,"[""ev_024"", ""ev_029"", ""ev_074""]"
商业化定价对比_2_个人Pro定价,商业化定价对比,2,个人Pro定价,CodeBuddy,39元/月，新用户首月享专属折扣,"[""ev_024"", ""ev_029"", ""ev_074""]"
商业化定价对比_2_企业版定价,商业化定价对比,2,企业版定价,CodeBuddy,SaaS企业版198元/人/月，专有云企业版316元/人/月,"[""ev_024"", ""ev_029"", ""ev_074""]"
商业化定价对比_2_evidence_ids,商业化定价对比,2,evidence_ids,CodeBuddy,"[""ev_024"", ""ev_029"", ""ev_074""]","[""ev_024"", ""ev_029"", ""ev_074""]"
企业级合规与部署能力对比_0_竞品,企业级合规与部署能力对比,0,竞品,通义灵码,通义灵码,"[""ev_013"", ""ev_053""]"
企业级合规与部署能力对比_0_私有部署支持,企业级合规与部署能力对比,0,私有部署支持,通义灵码,支持专属VPC部署，100人起购,"[""ev_013"", ""ev_053""]"
企业级合规与部署能力对比_0_合规管控能力,企业级合规与部署能力对比,0,合规管控能力,通义灵码,支持IP白名单、审计日志、多组织管理，未公开SSO/SOC2资质,"[""ev_013"", ""ev_053""]"
企业级合规与部署能力对比_0_evidence_ids,企业级合规与部署能力对比,0,evidence_ids,通义灵码,"[""ev_013"", ""ev_053""]","[""ev_013"", ""ev_053""]"
企业级合规与部署能力对比_1_竞品,企业级合规与部署能力对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_067"", ""ev_068""]"
企业级合规与部署能力对比_1_私有部署支持,企业级合规与部署能力对比,1,私有部署支持,CodeGeeX,模型完全开源，支持本地离线部署，数据完全隔离,"[""ev_067"", ""ev_068""]"
企业级合规与部署能力对比_1_合规管控能力,企业级合规与部署能力对比,1,合规管控能力,CodeGeeX,承诺用户代码不上传用于训练，未公开SSO/SOC2资质,"[""ev_067"", ""ev_068""]"
企业级合规与部署能力对比_1_evidence_ids,企业级合规与部署能力对比,1,evidence_ids,CodeGeeX,"[""ev_067"", ""ev_068""]","[""ev_067"", ""ev_068""]"
企业级合规与部署能力对比_2_竞品,企业级合规与部署能力对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_027"", ""ev_031"", ""ev_077""]"
企业级合规与部署能力对比_2_私有部署支持,企业级合规与部署能力对比,2,私有部署支持,CodeBuddy,仅专有云企业版支持完全离线私有部署,"[""ev_027"", ""ev_031"", ""ev_077""]"
企业级合规与部署能力对比_2_合规管控能力,企业级合规与部署能力对比,2,合规管控能力,CodeBuddy,支持提示词防护、敏感命令检查、安全沙箱，未公开SSO/SOC2资质,"[""ev_027"", ""ev_031"", ""ev_077""]"
企业级合规与部署能力对比_2_evidence_ids,企业级合规与部署能力对比,2,evidence_ids,CodeBuddy,"[""ev_027"", ""ev_031"", ""ev_077""]","[""ev_027"", ""ev_031"", ""ev_077""]"
