cell_id,table_name,row_index,column,competitor,value,evidence_ids
核心硬件配置横向对比表_0_竞品名称,核心硬件配置横向对比表,0,竞品名称,Redmi AX3600,,[]
核心硬件配置横向对比表_0_核心芯片方案,核心硬件配置横向对比表,0,核心芯片方案,Redmi AX3600,待搜索,[]
核心硬件配置横向对比表_0_内存容量,核心硬件配置横向对比表,0,内存容量,Redmi AX3600,待搜索,[]
核心硬件配置横向对比表_0_散热方案,核心硬件配置横向对比表,0,散热方案,Redmi AX3600,待搜索,[]
核心硬件配置横向对比表_0_网口配置,核心硬件配置横向对比表,0,网口配置,Redmi AX3600,待搜索,[]
核心硬件配置横向对比表_0_总无线速率,核心硬件配置横向对比表,0,总无线速率,Redmi AX3600,待搜索,[]
核心硬件配置横向对比表_0_证据ID,核心硬件配置横向对比表,0,证据ID,Redmi AX3600,[],[]
核心硬件配置横向对比表_0_竞品,核心硬件配置横向对比表,0,竞品,Redmi AX3600,Redmi AX3600,[]
核心硬件配置横向对比表_1_竞品名称,核心硬件配置横向对比表,1,竞品名称,华硕TUF GAMING AX5400,,[]
核心硬件配置横向对比表_1_核心芯片方案,核心硬件配置横向对比表,1,核心芯片方案,华硕TUF GAMING AX5400,待搜索,[]
核心硬件配置横向对比表_1_内存容量,核心硬件配置横向对比表,1,内存容量,华硕TUF GAMING AX5400,待搜索,[]
核心硬件配置横向对比表_1_散热方案,核心硬件配置横向对比表,1,散热方案,华硕TUF GAMING AX5400,待搜索,[]
核心硬件配置横向对比表_1_网口配置,核心硬件配置横向对比表,1,网口配置,华硕TUF GAMING AX5400,待搜索,[]
核心硬件配置横向对比表_1_总无线速率,核心硬件配置横向对比表,1,总无线速率,华硕TUF GAMING AX5400,待搜索,[]
核心硬件配置横向对比表_1_证据ID,核心硬件配置横向对比表,1,证据ID,华硕TUF GAMING AX5400,[],[]
核心硬件配置横向对比表_1_竞品,核心硬件配置横向对比表,1,竞品,华硕TUF GAMING AX5400,华硕TUF GAMING AX5400,[]
核心硬件配置横向对比表_2_竞品名称,核心硬件配置横向对比表,2,竞品名称,小米AX9000,,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
核心硬件配置横向对比表_2_核心芯片方案,核心硬件配置横向对比表,2,核心芯片方案,小米AX9000,高通IPQ8072A六核旗舰芯片，包含4核A53 2.2GHz CPU、双核1.7GHz网络加速引擎,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
核心硬件配置横向对比表_2_内存容量,核心硬件配置横向对比表,2,内存容量,小米AX9000,1GB,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
核心硬件配置横向对比表_2_散热方案,核心硬件配置横向对比表,2,散热方案,小米AX9000,上下双散热器+低噪声主动散热风扇+独立隔离排风风道,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
核心硬件配置横向对比表_2_网口配置,核心硬件配置横向对比表,2,网口配置,小米AX9000,1个2.5G WAN/LAN盲插口、1个千兆WAN/LAN盲插口、3个千兆LAN口,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
核心硬件配置横向对比表_2_总无线速率,核心硬件配置横向对比表,2,总无线速率,小米AX9000,9000Mbps（三频WiFi6）,"[""ev_069"", ""ev_070"", ""ev_075"", ""ev_076""]"
