respondent_id,role,industry,company_size,experience_level,budget_sensitivity,current_tools,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
R001,互联网公司用户运营,互联网电商,300人左右,3年纯电用车经验,中等,15万以下价位纯电车,26-35岁,15-20万元,15万以下价位纯电车,日常通勤上下班、全家周末短途出游,快充速度、续航里程、整车售价、电池质保政策、智能驾驶能力、车身空间尺寸,极氪001、特斯拉Model 3、智界S7、小鹏P7i,听说过，但不清楚具体优势,体验一般，很多场景需要人工接管,体验不错，部分场景好用,快充排队等待时间太长、续航打折严重有里程焦虑,5,没有固定家用充电桩不方便、担心新车型不符合预期踩坑,3000-8000元,705KM续航+9分钟快充+基础舒适配置（17.98万）,5,比较在意，希望可以自主选择是否上传,线下4S店的试驾体验,特斯拉Model 3、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,4,希望能把车载的第三方APP权限放开一点，支持安装常用的视频和音乐软件，不要做太多限制。
R002,公立中学数学教师,教育,800人左右,10年燃油车用车经验，首次换电车,偏高,传统燃油车,36-45岁,15-20万元,传统燃油车,日常通勤上下班、全家周末短途出游、跨省市长途自驾,电池质保政策、续航里程、整车售价、车身空间尺寸、快充速度、智能驾驶能力,特斯拉Model 3、智界S7、小鹏P7i,完全没听过这个概念,没体验过,没体验过,电池衰减后没有质保保障、续航打折严重有里程焦虑、售价超出预算,3,担心后续电池维修成本太高、担心新车型不符合预期踩坑,3000元以内,705KM续航+9分钟快充+基础舒适配置（17.98万）,4,完全不在意，上传数据能优化智驾体验更好,身边亲友的实际使用口碑,智界S7、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,5,希望车载系统操作简单一点，不要花里胡哨的功能，老人也能轻松上手，座椅最好做的软一点适合长时间坐。
R003,汽车内容自媒体博主,新媒体内容创作,8人小工作室,深度试驾过几十款新能源车型,低,暂无私家车,18-25岁,20-25万元,暂无私家车,日常通勤上下班、户外露营/拖挂出行,智能驾驶能力、快充速度、续航里程、整车售价、车身空间尺寸、电池质保政策,极氪001、特斯拉Model 3、智界S7、小鹏P7i、腾势N7、凯迪拉克IQ傲歌,非常了解，知道能大幅提升快充速度,体验不错，部分场景好用,体验非常好，完全满足需求,快充排队等待时间太长、智能驾驶不好用不敢用,4,没有置换阻碍,8000-15000元,635KM续航+20分钟快充+高阶智驾配置（20.48万）,4,非常在意，希望所有数据本地存储不上传,专业汽车媒体的实测评价,极氪001、智界S7、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,5,希望能支持对外放电功率到6kW以上，露营的时候带大功率的电炊具完全够用，最好原厂就带拖挂资质，不用自己后期改装。
R004,小型制造企业老板,精密零部件制造,35人左右,20年燃油车用车经验，第二台纯电车,低,25万以上价位纯电车,46-55岁,20-25万元,25万以上价位纯电车,日常通勤上下班、跨省市长途自驾,快充速度、电池质保政策、续航里程、智能驾驶能力、车身空间尺寸、整车售价,极氪001、特斯拉Model 3、智界S7、腾势N7,非常了解，知道能大幅提升快充速度,体验不错，部分场景好用,体验一般，很多场景需要人工接管,快充排队等待时间太长、智能驾驶不好用不敢用,5,旧车残值太低置换损失大,8000-15000元,705KM续航+9分钟快充+升级舒适配置（18.78万）,5,比较在意，希望可以自主选择是否上传,终端门店的优惠力度,极氪001、智界S7、本次调研的17.98-20.48万800V纯电轿车,4,希望后排座椅可以选装加热通风按摩，我经常带客户坐后排，舒适性一定要到位。
R005,退休国企职工,公共服务,1200人左右,30年驾龄，之前开燃油车，刚换了插混车,高,插电混动/增程式新能源车,55岁以上,15-20万元,插电混动/增程式新能源车,日常通勤上下班、全家周末短途出游,电池质保政策、整车售价、续航里程、车身空间尺寸、快充速度、智能驾驶能力,特斯拉Model 3、小鹏P7i,听说过，但不清楚具体优势,没体验过,没体验过,电池衰减后没有质保保障、售价超出预算,2,担心后续电池维修成本太高、没有固定家用充电桩不方便,0元，不愿意多花钱,705KM续航+9分钟快充+基础舒适配置（17.98万）,4,完全不在意，上传数据能优化智驾体验更好,终端门店的优惠力度,特斯拉Model 3、本次调研的17.98-20.48万800V纯电轿车,4,希望车机的字能做大一点，图标也放大，我老花眼看不清，最好所有功能都能用语音控制，不用点屏幕。
R006,互联网产品经理,互联网软件,1000人以上,首次置换纯电车，了解主流新势力车型,中等，优先匹配核心需求不盲目加价,传统燃油车,26-35岁,15-20万元,传统燃油车,日常通勤上下班、全家周末短途出游,快充速度、整车售价、续航里程、智能驾驶能力、电池质保政策、车身空间尺寸,极氪001、特斯拉Model 3、智界S7、小鹏P7i,非常了解，知道能大幅提升快充速度,体验不错，部分场景好用,体验不错，部分场景好用,快充排队等待时间太长、续航打折严重有里程焦虑、售价超出预算,5,没有固定家用充电桩不方便、担心新车型不符合预期踩坑,3000-8000元,705KM续航+9分钟快充+基础舒适配置（17.98万）,5,比较在意，希望可以自主选择是否上传,线下4S店的试驾体验,特斯拉Model 3、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,5,希望能标配外放电功能，周末露营用起来非常方便，不需要额外选装加价
R007,公立中学语文教师,教育,200人以内,已经用过3年纯电车，对新能源车使用痛点很熟悉,偏低，更看重使用体验愿意为好配置多花钱,15-25万价位纯电车,36-45岁,20-25万元,15-25万价位纯电车,日常通勤上下班、全家周末短途出游、户外露营/拖挂出行,电池质保政策、车身空间尺寸、续航里程、智能驾驶能力、快充速度、整车售价,极氪001、特斯拉Model 3、智界S7、小鹏P7i、腾势N7,听说过，但不清楚具体优势,没体验过,体验一般，很多场景需要人工接管,电池衰减后没有质保保障、智能驾驶不好用不敢用,3,担心后续电池维修成本太高、没有置换阻碍,8000-15000元,705KM续航+9分钟快充+升级舒适配置（18.78万）,4,完全不在意，上传数据能优化智驾体验更好,身边亲友的实际使用口碑,智界S7、腾势N7、本次调研的17.98-20.48万800V纯电轿车,4,希望后排能标配儿童安全座椅接口的加固设计，带小朋友出门更安全，最好后排空调可以独立分区控制
R008,初创公司运营专员,电商服务,50人以内,从来没拥有过私家车，第一次买车,非常高，尽量选性价比最高的选项,暂无私家车,18-25岁,15-20万元,暂无私家车,日常通勤上下班、跨省市长途自驾,整车售价、续航里程、快充速度、智能驾驶能力、电池质保政策、车身空间尺寸,特斯拉Model 3、小鹏P7i,完全没听过这个概念,没体验过,没体验过,快充排队等待时间太长、续航打折严重有里程焦虑、售价超出预算,4,没有固定家用充电桩不方便、担心后续电池维修成本太高,3000元以内,705KM续航+9分钟快充+基础舒适配置（17.98万）,3,非常在意，希望所有数据本地存储不上传,终端门店的优惠力度,特斯拉Model 3、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,3,希望车机系统不要强制捆绑各种付费会员，基础的导航音乐功能全部免费开放，不要后续变相收费
R009,制造业私企老板,高端装备制造,80人以内,开过很多豪华品牌新能源车，对高端智驾需求很高,极低，优先选配置最高的版本,25万以上价位纯电车,46-55岁,25-35万元,25万以上价位纯电车,日常通勤上下班、跨省市长途自驾,智能驾驶能力、车身空间尺寸、快充速度、电池质保政策、续航里程、整车售价,极氪001、特斯拉Model 3、智界S7、小鹏P7i、腾势N7、凯迪拉克IQ傲歌,非常了解，知道能大幅提升快充速度,体验一般，很多场景需要人工接管,体验非常好，完全满足需求,快充排队等待时间太长、智能驾驶不好用不敢用,4,旧车残值太低置换损失大、没有置换阻碍,15000元以上,635KM续航+20分钟快充+高阶智驾配置（20.48万）,4,完全不在意，上传数据能优化智驾体验更好,专业汽车媒体的实测评价,极氪001、智界S7、小鹏P7i、本次调研的17.98-20.48万800V纯电轿车,5,希望车载后排能标配小屏幕，跑长途的时候后排乘客可以看视频看路况，增加乘坐舒适度
R010,退休国企干部,公共事业,2000人以上,开过几十年燃油车，刚接触新能源车,中等，选稳妥靠谱的车型就行,插电混动/增程式新能源车,55岁以上,20-25万元,插电混动/增程式新能源车,日常通勤上下班、全家周末短途出游,电池质保政策、续航里程、车身空间尺寸、整车售价、快充速度、智能驾驶能力,极氪001、特斯拉Model 3、智界S7、小鹏P7i,听说过，但不清楚具体优势,没体验过,没体验过,电池衰减后没有质保保障、续航打折严重有里程焦虑,2,担心后续电池维修成本太高、担心新车型不符合预期踩坑,0元，不愿意多花钱,705KM续航+9分钟快充+升级舒适配置（18.78万）,5,比较在意，希望可以自主选择是否上传,线下4S店的试驾体验,智界S7、本次调研的17.98-20.48万800V纯电轿车、其他车型,4,希望车机系统操作简单点，字大一点图标大一点，不要搞那么多花里胡哨的功能，老人家上手容易
