cell_id,table_name,row_index,column,competitor,value,evidence_ids
核心硬件参数横向对比表_0_竞品名称,核心硬件参数横向对比表,0,竞品名称,天斧100zz,天斧100zz,"[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_0_核心材质配置,核心硬件参数横向对比表,0,核心材质配置,天斧100zz,拍框含5种高端碳素材料，6.3mm超细实心中杆，深藏青版平衡点305mm,"[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_0_重量规格覆盖,核心硬件参数横向对比表,0,重量规格覆盖,天斧100zz,3U/4U双主流规格，3U约88g，4U约83g,"[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_0_产地,核心硬件参数横向对比表,0,产地,天斧100zz,日本本土原产,"[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_0_最高支持拉线磅数,核心硬件参数横向对比表,0,最高支持拉线磅数,天斧100zz,3U支持21-29磅，4U支持20-28磅,"[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_0_evidence_ids,核心硬件参数横向对比表,0,evidence_ids,天斧100zz,"[""ev_052"", ""ev_054""]","[""ev_052"", ""ev_054""]"
核心硬件参数横向对比表_1_竞品名称,核心硬件参数横向对比表,1,竞品名称,尤尼克斯天斧88D-PRO,尤尼克斯天斧88D-PRO,"[""ev_007"", ""ev_008""]"
核心硬件参数横向对比表_1_核心材质配置,核心硬件参数横向对比表,1,核心材质配置,尤尼克斯天斧88D-PRO,初代高弹碳素+体积压缩树脂+钨，三代升级第二代新次元碳素，中杆直径6.6mm,"[""ev_007"", ""ev_008""]"
核心硬件参数横向对比表_1_重量规格覆盖,核心硬件参数横向对比表,1,重量规格覆盖,尤尼克斯天斧88D-PRO,4U为主，3U/4U双规格可选,"[""ev_007"", ""ev_008""]"
核心硬件参数横向对比表_1_产地,核心硬件参数横向对比表,1,产地,尤尼克斯天斧88D-PRO,日本本土原产,"[""ev_007"", ""ev_008""]"
核心硬件参数横向对比表_1_最高支持拉线磅数,核心硬件参数横向对比表,1,最高支持拉线磅数,尤尼克斯天斧88D-PRO,3U支持21-29磅，4U支持20-28磅,"[""ev_007"", ""ev_008""]"
核心硬件参数横向对比表_1_evidence_ids,核心硬件参数横向对比表,1,evidence_ids,尤尼克斯天斧88D-PRO,"[""ev_007"", ""ev_008""]","[""ev_007"", ""ev_008""]"
