respondent_id,role,industry,company_size,experience_level,budget_sensitivity,current_tools,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
R001,行政专员,传统制造业,100-500人,普通数码用户，对网络参数了解不多,中等，愿意为好用的产品付合理溢价,其他WiFi6及更早型号路由器,81-100㎡,500M-1000M,其他WiFi6及更早型号路由器,4K/8K高清视频流媒体播放、智能家居设备联网控制、多设备同时联网办公上网课,3,3,多设备Mesh组网能力、游戏专属加速功能、全2.5G自适应网口、WiFi7 6500M级高速率、儿童上网管控功能,仅听过名字不了解细节,完全没听说过,只知道速度更快,3,穿墙信号差 部分房间网速慢,现有路由器还能正常使用没必要换、担心价格超出预算,301-400元,会对比其他同价位产品再决定,4,通过手机品牌官方智能家居App可视化管理,华为,4,希望路由器能自带免费的广告拦截功能，不用额外装插件，家里老人小孩用着更省心
R002,自由职业游戏主播,互联网直播,个体经营,资深数码爱好者，对网络参数非常熟悉,低，愿意为网络稳定性付费,小米Wi-Fi 7路由器BE6500,101-150㎡,1000M-2000M,小米Wi-Fi 7路由器BE6500,主机/手机在线竞技游戏、NAS内网大文件高速传输、多设备同时联网办公上网课,5,5,游戏专属加速功能、全2.5G自适应网口、WiFi7 6500M级高速率、多设备Mesh组网能力、儿童上网管控功能,了解部分核心参数,非常熟悉相关功能和定价,了解部分升级特性比如4K-QAM、160MHz频宽,4,游戏延迟高经常跳ping,担心WiFi7在国内实际使用提升不大、其他,501-600元,会加入购物车观望后续活动,3,通过手机品牌官方智能家居App可视化管理,小米,3,希望路由器能自带专属的游戏线路加速，不用额外付费买加速器会员，能省不少钱
R003,全职宝妈,居民服务,无,新手用户，只会基础上网操作,较低，优先考虑对孩子友好的功能,华为凌霄子母路由Q7网线版,151㎡及以上,200M-500M,华为凌霄子母路由Q7网线版,4K/8K高清视频流媒体播放、智能家居设备联网控制、多设备同时联网办公上网课,2,2,儿童上网管控功能、多设备Mesh组网能力、游戏专属加速功能、全2.5G自适应网口、WiFi7 6500M级高速率,了解部分核心参数,完全没听说过,完全不了解,2,多设备同时联网卡顿,现有路由器还能正常使用没必要换、担心新路由器设置流程太复杂,401-500元,暂时不会考虑购买,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望路由器的儿童管控功能能更细化，比如单独设置不同APP的使用时长，不用全局限速
R004,国企IT运维工程师,能源电力,1000人以上,专业级网络用户，熟悉各类网络协议,中等偏低，优先考虑性能达标产品,腾达BE12 Pro WiFi7路由器,101-150㎡,2000M及以上,腾达BE12 Pro WiFi7路由器,4K/8K高清视频流媒体播放、NAS内网大文件高速传输、主机/手机在线竞技游戏、其他,5,5,WiFi7 6500M级高速率、全2.5G自适应网口、多设备Mesh组网能力、游戏专属加速功能、儿童上网管控功能,了解部分核心参数,了解部分核心参数,非常清楚全部技术差异,3,网口是千兆无法跑满2000M宽带,担心新路由器信号不如旧款、其他,401-500元,肯定会立刻购买,2,通过网页端后台配置,TP-LINK,4,希望家用WiFi7路由能开放SSH权限，允许专业用户自行刷固件做自定义配置，不要锁死后台
R005,刚毕业应届生,互联网运营,50-100人,入门级用户，只关心上网能不能刷视频,非常高，优先选便宜的产品,其他品牌路由器,50㎡及以下,100M及以下,其他品牌路由器,4K/8K高清视频流媒体播放、主机/手机在线竞技游戏、其他,2,1,游戏专属加速功能、多设备Mesh组网能力、全2.5G自适应网口、WiFi7 6500M级高速率、儿童上网管控功能,完全没听说过,完全没听说过,完全不了解,1,没有明显痛点,现有路由器还能正常使用没必要换、担心价格超出预算,300元以内,暂时不会考虑购买,1,通过手机品牌官方智能家居App可视化管理,小米,2,希望便宜的入门款WiFi7路由能做到一百多块钱，让我们这种租房的年轻人也能随便升级
R006,小学班主任,公立教育,教职工120人,普通数码用户,中等,其他WiFi6及更早型号路由器,81-100㎡,500M-1000M,其他WiFi6及更早型号路由器,4K/8K高清视频流媒体播放、智能家居设备联网控制、多设备同时联网办公上网课,4,4,多设备Mesh组网能力、儿童上网管控功能、全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能,仅听过名字不了解细节,完全没听说过,只知道速度更快,3,穿墙信号差 部分房间网速慢,现有路由器还能正常使用没必要换、担心价格超出预算,301-400元,会对比其他同价位产品再决定,5,通过手机品牌官方智能家居App可视化管理,华为,4,希望能出专门的老人简易操作模式，不要太多复杂的专业设置项，家里长辈有时候想调整WiFi不会弄。
R007,互联网后端开发工程师,移动互联网,员工2000人以上,资深数码爱好者,低,小米Wi-Fi 7路由器BE6500、NAS内网存储设备,101-150㎡,1000M-2000M,小米Wi-Fi 7路由器BE6500、其他WiFi6及更早型号路由器,主机/手机在线竞技游戏、NAS内网大文件高速传输、4K/8K高清视频流媒体播放、多设备同时联网办公上网课,5,5,WiFi7 6500M级高速率、全2.5G自适应网口、游戏专属加速功能、多设备Mesh组网能力、儿童上网管控功能,了解部分核心参数,了解部分核心参数,了解部分升级特性比如4K-QAM、160MHz频宽,4,游戏延迟高经常跳ping,担心WiFi7在国内实际使用提升不大、其他,501-600元,会对比其他同价位产品再决定,4,通过手机品牌官方智能家居App可视化管理,华为,5,希望后续WiFi7路由器能直接内置NAS简易管理功能，不用额外接存储设备就能直接做家庭私有云，降低用户搭建成本。
R008,独立平面设计师,文创设计,3人小工作室,普通数码用户,很高,其他品牌路由器,50㎡及以下,200M-500M,其他品牌路由器,4K/8K高清视频流媒体播放、多设备同时联网办公上网课、其他,2,2,全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能、儿童上网管控功能、多设备Mesh组网能力,完全没听说过,完全没听说过,完全不了解,3,没有明显痛点,现有路由器还能正常使用没必要换、担心价格超出预算,300元以内,暂时不会考虑购买,3,通过手机品牌官方智能家居App可视化管理,TP-LINK,2,希望厂商能多出点两百块以内的高性价比基础款路由器，不要搞太多花里胡哨的功能溢价，普通用户根本用不上。
R009,国企行政主管,能源国企,员工15000人以上,数码小白用户,中等,华为凌霄子母路由Q7网线版,151㎡及以上,500M-1000M,华为凌霄子母路由Q7网线版,智能家居设备联网控制、多设备同时联网办公上网课、4K/8K高清视频流媒体播放,3,3,多设备Mesh组网能力、儿童上网管控功能、全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能,仅听过名字不了解细节,完全没听说过,只知道速度更快,3,没有儿童上网管控功能,担心新路由器设置流程太复杂,401-500元,会加入购物车观望后续活动,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望路由器的设置界面能做的更傻瓜化一点，最好买回家插上网线就能自动配置好，不用用户一步步选参数，对小白用户更友好。
R010,大三计算机专业学生,高等教育在读,全校师生30000人以上,数码发烧友,高,其他WiFi6及更早型号路由器,51-80㎡,1000M-2000M,其他WiFi6及更早型号路由器,主机/手机在线竞技游戏、NAS内网大文件高速传输、多设备同时联网办公上网课,5,5,游戏专属加速功能、WiFi7 6500M级高速率、全2.5G自适应网口、多设备Mesh组网能力、儿童上网管控功能,了解部分核心参数,了解部分核心参数,非常清楚全部技术差异,4,网口是千兆无法跑满2000M宽带,担心价格超出预算、担心WiFi7在国内实际使用提升不大,301-400元,肯定会立刻购买,3,通过网页端后台配置,小米,4,希望厂商后续推出的WiFi7路由能开放更多的自定义调试权限，支持用户刷第三方固件，满足数码爱好者的折腾需求，定价也尽量贴近学生群体。
R011,后端开发工程师,互联网,1200人,网络设备资深爱好者,低,华为路由BE7 Pro、NAS内网存储设备,101-150㎡,1000M-2000M,华为路由BE7 Pro,主机/手机在线竞技游戏、NAS内网大文件高速传输、4K/8K高清视频流媒体播放,5,5,全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能、多设备Mesh组网能力、儿童上网管控功能,非常熟悉相关功能和定价,了解部分核心参数,非常清楚全部技术差异,3,没有明显痛点,现有路由器还能正常使用没必要换,401-500元,暂时不会考虑购买,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望后续WiFi7路由能自带硬盘扩展位，直接做轻量NAS功能，省得单独买存储设备
R012,小学班主任,公立教育,120人,普通数码用户,中等,其他WiFi6及更早型号路由器,51-80㎡,200M-500M,其他WiFi6及更早型号路由器,多设备同时联网办公上网课、智能家居设备联网控制、4K/8K高清视频流媒体播放,3,2,儿童上网管控功能、多设备Mesh组网能力、WiFi7 6500M级高速率、全2.5G自适应网口、游戏专属加速功能,仅听过名字不了解细节,完全没听说过,只知道速度更快,3,多设备同时联网卡顿,现有路由器还能正常使用没必要换、担心新路由器设置流程太复杂、担心价格超出预算,301-400元,会对比其他同价位产品再决定,4,通过手机品牌官方智能家居App可视化管理,华为,4,希望儿童上网管控功能可以更傻瓜化，不用我自己设置，直接有预设的小学生上网时段和内容过滤包就最好了
R013,自由职业摄影师,文化传媒,3人,普通数码爱好者,中等偏高,小米Wi-Fi 7路由器BE6500,101-150㎡,500M-1000M,小米Wi-Fi 7路由器BE6500,4K/8K高清视频流媒体播放、NAS内网大文件高速传输、多设备同时联网办公上网课,4,4,WiFi7 6500M级高速率、全2.5G自适应网口、多设备Mesh组网能力、游戏专属加速功能、儿童上网管控功能,了解部分核心参数,了解部分核心参数,了解部分升级特性比如4K-QAM、160MHz频宽,4,穿墙信号差 部分房间网速慢,担心WiFi7在国内实际使用提升不大、担心价格超出预算,301-400元,会加入购物车观望后续活动,3,通过手机品牌官方智能家居App可视化管理,小米,4,希望WiFi7路由的穿墙能力能进一步提升，大户型不用买子路由也能覆盖所有房间的高速信号
R014,电商运营专员,电子商务,80人,数码小白,很高,其他品牌路由器,50㎡及以下,100M及以下,其他品牌路由器,主机/手机在线竞技游戏、4K/8K高清视频流媒体播放,2,1,游戏专属加速功能、WiFi7 6500M级高速率、多设备Mesh组网能力、全2.5G自适应网口、儿童上网管控功能,完全没听说过,完全没听说过,完全不了解,3,游戏延迟高经常跳ping,现有路由器还能正常使用没必要换、担心价格超出预算、担心新路由器设置流程太复杂,300元以内,暂时不会考虑购买,2,通过手机品牌官方智能家居App可视化管理,TP-LINK,2,希望出一些一百多块的入门WiFi7路由，适合我们租房的年轻人用，性价比高点
R015,国企行政主管,能源国企,3000人,普通数码用户,低,华为凌霄子母路由Q7网线版,151㎡及以上,2000M及以上,华为凌霄子母路由Q7网线版,智能家居设备联网控制、多设备同时联网办公上网课、4K/8K高清视频流媒体播放,4,5,多设备Mesh组网能力、全2.5G自适应网口、WiFi7 6500M级高速率、儿童上网管控功能、游戏专属加速功能,了解部分核心参数,仅听过名字不了解细节,了解部分升级特性比如4K-QAM、160MHz频宽,3,网口是千兆无法跑满2000M宽带,担心新路由器信号不如旧款,501-600元,会对比其他同价位产品再决定,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望后续华为的WiFi7路由可以直接支持和老款凌霄子母路由无缝Mesh组网，不用全部换新就能升级WiFi7体验
R016,后端开发工程师,互联网,1000人以上,资深数码爱好者,低,华为路由BE7 Pro、华为凌霄子母路由Q7网线版,101-150㎡,1000M-2000M,华为路由BE7 Pro、华为凌霄子母路由Q7网线版,4K/8K高清视频流媒体播放、主机/手机在线竞技游戏、NAS内网大文件高速传输、多设备同时联网办公上网课,5,5,WiFi7 6500M级高速率、全2.5G自适应网口、多设备Mesh组网能力、游戏专属加速功能、儿童上网管控功能,非常熟悉相关功能和定价,了解部分核心参数,了解部分升级特性比如4K-QAM、160MHz频宽,3,没有明显痛点,现有路由器还能正常使用没必要换,401-500元,肯定会立刻购买,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望后续WiFi7路由能开放更多插件安装权限，支持自定义脚本扩展更多功能，方便资深用户折腾
R017,小学三年级班主任,中小学教育,200人左右公立学校,普通数码用户,中等,其他WiFi6及更早型号路由器,81-100㎡,500M-1000M,其他WiFi6及更早型号路由器,4K/8K高清视频流媒体播放、智能家居设备联网控制、多设备同时联网办公上网课,3,3,儿童上网管控功能、多设备Mesh组网能力、全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能,仅听过名字不了解细节,完全没听说过,只知道速度更快,3,多设备同时联网卡顿,担心新路由器设置流程太复杂、担心价格超出预算,301-400元,会对比其他同价位产品再决定,5,通过手机品牌官方智能家居App可视化管理,华为,4,希望路由器自带的儿童管控功能能更智能，自动识别学习类APP，设置自动断网时间，不用家长手动操作
R018,外卖配送员,生活服务,个体从业者,数码小白用户,高,其他品牌路由器,50㎡及以下,100M及以下,其他品牌路由器,4K/8K高清视频流媒体播放、其他,2,1,全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能、儿童上网管控功能、多设备Mesh组网能力,完全没听说过,完全没听说过,完全不了解,2,穿墙信号差 部分房间网速慢,现有路由器还能正常使用没必要换、担心价格超出预算,300元以内,暂时不会考虑购买,2,通过手机品牌官方智能家居App可视化管理,TP-LINK,2,希望出一些价格特别便宜的入门级WiFi7路由，一百多块钱就能买到，我们打工人也能消费得起
R019,自由商业摄影师,文化传媒,自由职业,资深数码玩家,中低,小米Wi-Fi 7路由器BE6500,101-150㎡,500M-1000M,小米Wi-Fi 7路由器BE6500、NAS内网大文件高速传输,主机/手机在线竞技游戏、NAS内网大文件高速传输、多设备同时联网办公上网课,4,5,全2.5G自适应网口、WiFi7 6500M级高速率、游戏专属加速功能、多设备Mesh组网能力、儿童上网管控功能,了解部分核心参数,非常熟悉相关功能和定价,了解部分升级特性比如4K-QAM、160MHz频宽,4,游戏延迟高经常跳ping,担心WiFi7在国内实际使用提升不大、担心价格超出预算,401-500元,会加入购物车观望后续活动,4,通过手机品牌官方智能家居App可视化管理,小米,4,希望WiFi7路由能内置NAS轻量存储功能，不用额外买硬盘盒，直接就能存照片素材，对我们摄影师很实用
R020,国企行政专员,能源国企,5000人以上,普通家用用户,中等,其他品牌路由器,151㎡及以上,1000M-2000M,其他品牌路由器,4K/8K高清视频流媒体播放、主机/手机在线竞技游戏、智能家居设备联网控制、多设备同时联网办公上网课,4,4,多设备Mesh组网能力、全2.5G自适应网口、WiFi7 6500M级高速率、儿童上网管控功能、游戏专属加速功能,了解部分核心参数,仅听过名字不了解细节,只知道速度更快,3,穿墙信号差 部分房间网速慢,担心新路由器信号不如旧款、担心新路由器设置流程太复杂,501-600元,会对比其他同价位产品再决定,4,通过手机品牌官方智能家居App可视化管理,华为,4,希望WiFi7路由的Mesh组网操作能完全傻瓜化，插上网线自动配对，不用用户手动设置，对普通家庭用户更友好
R021,后端开发工程师,互联网,1000人以上,资深数码爱好者,低,华为路由BE7 Pro,101-150㎡,1000M-2000M,华为路由BE7 Pro,4K/8K高清视频流媒体播放、主机/手机在线竞技游戏、NAS内网大文件高速传输、多设备同时联网办公上网课,5,5,WiFi7 6500M级高速率、全2.5G自适应网口、多设备Mesh组网能力、游戏专属加速功能、儿童上网管控功能,非常熟悉相关功能和定价,了解部分核心参数,了解部分升级特性比如4K-QAM、160MHz频宽,3,没有明显痛点,现有路由器还能正常使用没必要换,401-500元,肯定会立刻购买,5,通过手机品牌官方智能家居App可视化管理,华为,5,希望后续WiFi7路由能自带主动散热风扇，长时间高负载运行也不会掉速断流，支持更多自定义插件功能
R022,全职宝妈,家庭服务业,无,普通数码小白,中高,其他WiFi6及更早型号路由器,81-100㎡,500M-1000M,其他WiFi6及更早型号路由器,4K/8K高清视频流媒体播放、智能家居设备联网控制、多设备同时联网办公上网课,3,2,儿童上网管控功能、多设备Mesh组网能力、WiFi7 6500M级高速率、全2.5G自适应网口、游戏专属加速功能,完全没听说过,完全没听说过,完全不了解,3,穿墙信号差 部分房间网速慢,担心新路由器设置流程太复杂、担心价格超出预算,300元以内,暂时不会考虑购买,5,通过手机品牌官方智能家居App可视化管理,华为,3,希望路由设置能更简单，最好买回来插上网线就能用，不用复杂操作，自带的儿童管控功能能直接限制短视频和游戏APP就更好了
