参数维度 | 705KM闪充尊贵型 | 705KM闪充尊荣型 | 635KM领航版
---------|-----------------|-----------------|-------------
厂商指导价 | 17.98万元 | 18.78万元 | 20.48万元
能源类型 | 纯电动 | 纯电动 | 纯电动
级别 | 中大型轿车 | 中大型轿车 | 中大型轿车
长×宽×高(mm) | 4995×1910×1495 | 4995×1910×1495 | 4995×1910×1495
轴距(mm) | 2920 | 2920 | 2920
整备质量(kg) | 1940 | 1940 | 1980
CLTC纯电续航(km) | 705 | 705 | 635
电池类型 | 磷酸铁锂(刀片) | 磷酸铁锂(刀片) | 磷酸铁锂(刀片)
电池容量(kWh) | 69.07 | 69.07 | 67.4
百公里电耗(kWh/100km) | 10.8 | 10.8 | 11.6
快充时间(30%-80%) | 约0.15h(9分钟) | 约0.15h(9分钟) | 约0.33h(20分钟)
驱动方式 | 前置前驱 | 前置前驱 | 前置前驱
电动机总功率(kW) | 240 | 240 | 170
电动机总扭矩(N·m) | 305 | 305 | 360
最大马力(Ps) | 326 | 326 | 231
0-100km/h加速(s) | 6.5 | 6.5 | 6.9
最高车速(km/h) | 210 | 210 | 190
平台架构 | 800V高压平台 | 800V高压平台 | 800V高压平台
智驾硬件 | 激光雷达(天神之眼) | 激光雷达(天神之眼) | 激光雷达(天神之眼)
轮胎规格 | 245/50R18或245/45R19 | 245/50R18或245/45R19 | 245/45R19
整车质保 | 六年或15万公里 | 六年或15万公里 | 六年或15万公里
电池组质保 | 首任非运营不限年限/里程 | 首任非运营不限年限/里程 | 首任非运营不限年限/里程
