respondent_id,role,industry,company_size,experience_level,budget_sensitivity,current_tools,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
R001,在校大学生/FPS游戏爱好者,教育/学生群体,无,资深电竞玩家，有5年以上FPS游戏游玩经验,中等，愿意为心仪外设支付溢价但不会盲目消费,罗技GPW 3,18-19.5cm,抓握（掌心部分接触鼠标）,罗技GPW 3,FPS竞技游戏（CS2、Valorant等）、其他休闲游戏,5,4,轻量化重量、旗舰级传感器追踪精度、高轮询率低延迟、价格水平,看过测评/线下体验过样机,知道且该设计符合我的使用需求,5,,40小时以上,1-3天,4,500-700元,电商大促降价优惠、头部游戏KOL测评推荐,完全不介意有没有灯效,4,3,希望能出更多不同模具尺寸的轻量化旗舰，适配更多小手用户，同时降低驱动的冗余功能，不用每次开机都自启占资源
R002,游戏公司运营专员,互联网游戏行业,200人左右,中度游戏用户，日常兼顾办公和游戏使用,低，外设预算充足，优先选体验最好的产品,雷蛇毒蝰V3 Pro,17-18cm,指握（仅指尖接触鼠标）,雷蛇毒蝰V3 Pro,MOBA类游戏（英雄联盟、王者荣耀等）、日常办公/内容创作,5,3,轻量化重量、长微动使用寿命、续航表现,正在使用该产品,知道但对我没有影响,5,,20-40小时,1天以内,5,700-900元,品牌官方售后保障、电商大促降价优惠,反而觉得无灯效更实用不分散注意力,5,4,希望能把底部的充电接口换成Type-C直充，现在的磁吸充电虽然方便但出门还要多带一根线，不太方便
R003,制造业流水线质检职员,传统制造业,1200人以上,轻度游戏用户，只有周末偶尔玩游戏,高，外设预算不超过300元，优先选性价比高的产品,其他品牌型号,≤17cm,趴握（整个手掌完全贴合鼠标）,其他品牌型号,MOBA类游戏（英雄联盟、王者荣耀等）、日常办公/内容创作,2,1,价格水平,听过名称但没了解过参数,完全不知道这个设计特点,3,微动寿命短容易双击、模具不符合手型握久疲劳,10小时以内,3-7天,2,500元以下,电商大促降价优惠,勉强可以接受没有灯效,2,1,希望旗舰鼠标能出一些性价比高的入门款，价格降到两百多，普通打工人也能买得起
R004,FPS项目青训职业选手,职业电竞俱乐部,30人以下,职业级电竞用户，日均训练8小时以上,极低，俱乐部采购外设只看性能不看价格,雷蛇炼狱蝰蛇V3专业版,≥19.5cm,趴握（整个手掌完全贴合鼠标）,雷蛇炼狱蝰蛇V3专业版,FPS竞技游戏（CS2、Valorant等）,5,5,轻量化重量、旗舰级传感器追踪精度、高轮询率低延迟、长微动使用寿命,看过测评/线下体验过样机,知道且该设计符合我的使用需求,4,重量太高长时间玩手腕酸痛,10-20小时,3-7天,5,700-900元,职业选手/Faker同款背书、头部游戏KOL测评推荐,反而觉得无灯效更实用不分散注意力,5,2,希望能出支持板载8000Hz配置的版本，不用开驱动就能直接保存高轮询率设置，比赛的时候插上去就能用，不用提前调驱动
R005,游戏外设类自媒体博主,内容创作/自媒体,个体工商户,资深外设测评人，接触过近百款电竞鼠标产品,中等，测评产品大多是厂商送测，自己买的话会考虑性价比,罗技GPW 3、其他品牌型号,18-19.5cm,无固定习惯,罗技GPW 3、其他品牌型号,FPS竞技游戏（CS2、Valorant等）、MOBA类游戏（英雄联盟、王者荣耀等）、日常办公/内容创作,4,4,轻量化重量、旗舰级传感器追踪精度、高轮询率低延迟、长微动使用寿命、续航表现、价格水平,正在使用该产品,知道且该设计符合我的使用需求,4,追踪不准游戏中丢帧,20-40小时,1-3天,4,500-700元,头部游戏KOL测评推荐、限定联名外观配色,完全不介意有没有灯效,4,3,希望厂商能开放更多自定义的板载内存空间，不用依赖驱动就能存多组不同游戏的配置文件，同时推出不同重量的可替换配重块，满足不同用户的手感偏好
R006,高校FPS业余战队主力选手,在校学生/电竞爱好者,无,5年以上电竞外设深度使用经验,中等,雷蛇毒蝰V3 Pro,18-19.5cm,抓握（掌心部分接触鼠标）,雷蛇毒蝰V3 Pro,FPS竞技游戏（CS2、Valorant等）、日常办公/内容创作,5,5,轻量化重量、旗舰级传感器追踪精度、高轮询率低延迟、长微动使用寿命,正在使用该产品,知道且该设计符合我的使用需求,5,,40小时以上,1-3天,5,500-700元,职业选手/Faker同款背书、头部游戏KOL测评推荐、电商大促降价优惠,反而觉得无灯效更实用不分散注意力,5,4,希望能出更多不同重量的可替换配重块，方便不同手型的玩家自定义调整手感，另外微动可以做的更方便玩家自行更换，不用拆壳焊锡
R007,互联网公司内容运营,互联网,200人左右,3年左右电竞外设使用经验,较高,罗技GPW 3,17-18cm,指握（仅指尖接触鼠标）,罗技GPW 3,MOBA类游戏（英雄联盟、王者荣耀等）、日常办公/内容创作,4,3,续航表现、价格水平、旗舰级传感器追踪精度,看过测评/线下体验过样机,知道但对我没有影响,4,微动寿命短容易双击、续航太短需要频繁充电,10-20小时,3-7天,3,500元以下,电商大促降价优惠、品牌官方售后保障,完全不介意有没有灯效,3,2,希望旗舰鼠标能把微动寿命做的更长一点，至少保证3年以上不用双击，最好驱动不用强制绑定账号，本地就能直接调参数
R008,休闲游戏主播,文娱直播,个体经营,7年资深外设玩家,低,雷蛇炼狱蝰蛇V3专业版,≥19.5cm,趴握（整个手掌完全贴合鼠标）,雷蛇炼狱蝰蛇V3专业版,FPS竞技游戏（CS2、Valorant等）、其他休闲游戏、日常办公/内容创作,4,4,旗舰级传感器追踪精度、轻量化重量、续航表现、价格水平,看过测评/线下体验过样机,知道且该设计不符合我的使用需求,3,重量太高长时间玩手腕酸痛、模具不符合手型握久疲劳,20-40小时,1天以内,2,700-900元,限定联名外观配色、头部游戏KOL测评推荐、职业选手/Faker同款背书,勉强可以接受没有灯效,2,5,希望雷蛇能出专门针对20cm以上大手趴握用户的超大尺寸轻量化旗舰鼠标，不要只做中小手的模具，限定联名款最好能多给点定制刻字的服务
R009,国企行政岗职员,国企行政服务,2000人以上,1年左右电竞外设入门经验,非常高,暂未使用电竞鼠标,≤17cm,无固定习惯,暂未使用电竞鼠标,日常办公/内容创作、其他休闲游戏,2,1,价格水平、续航表现、RGB灯效,听过名称但没了解过参数,完全不知道这个设计特点,3,重量太高长时间玩手腕酸痛、追踪不准游戏中丢帧、模具不符合手型握久疲劳,10小时以内,7天以上,1,500元以下,电商大促降价优惠,完全不能接受，必须要有RGB灯效,1,1,希望旗舰电竞鼠标能出便宜点的入门版本，带好看的灯效，操作简单不用装复杂驱动，适合普通用户日常办公用
R010,电竞俱乐部CS2项目青训选手,职业电子竞技,30人左右,6年专业电竞外设使用经验,极低,其他品牌型号,19-19.5cm,抓握（掌心部分接触鼠标）,其他品牌型号,FPS竞技游戏（CS2、Valorant等）,5,5,轻量化重量、旗舰级传感器追踪精度、高轮询率低延迟、长微动使用寿命、续航表现,看过测评/线下体验过样机,知道且该设计符合我的使用需求,5,追踪不准游戏中丢帧、点击延迟高影响操作响应、续航太短需要频繁充电,10小时以内,1天以内,4,700-900元,职业选手/Faker同款背书、品牌官方售后保障,反而觉得无灯效更实用不分散注意力,5,3,希望后续能推出职业赛事专属的版本，附带赛事级的低延迟充电底座，支持边充边用完全零延迟，额外增加可更换的防滑侧裙不同纹理版本，适配不同选手的手汗情况
