respondent_id,role,industry,company_size,experience_level,budget_sensitivity,current_tools,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
R001,产品经理,互联网,100-500人,进阶爱好者,中低,天斧99 PRO、天斧100zz,3-5年,普通爱好者约球,天斧99 PRO、天斧100zz,双打后场进攻,4,5,4,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,5,4,单拍杀球没杀死就容易陷入被动、上手门槛太高很难驾驭,已经习惯现有球拍的手感不想换,1300-1600元,身边球友的实际使用反馈、专业博主/测评的实测推荐,只要是品牌正品，产地无所谓,天斧99 PRO、天斧100zz、龙牙之刃、天斧99、天斧99 TOUR,5,建议多推出些年轻人喜欢的亮色系配色，现在可选的配色太少，官方定价可以适当下探一点降低入门门槛
R002,校羽毛球队队员,高等教育,5000人以上高校,半专业训练选手,中,龙牙之刃、其他进攻型球拍,5年以上,半专业/校队训练比赛,龙牙之刃、其他进攻型球拍,单打,5,4,5,3,主打极致单拍重杀的进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,3,基础差很难打甜，容易打框、中杆过短需要长时间适应,担心自己技术水平驾驭不了,1600-1900元,代言球星的使用同款、品牌官方的技术参数宣传,必须日本原产,龙牙之刃、天斧99 PRO、天斧99、天斧100zz、天斧99 TOUR,4,建议可以推出更低平衡点的版本，给力量没那么大的半专业选手更多选择空间
R003,国企行政专员,政务/国企,200-300人,入门新手,高,暂未使用进攻型球拍,1-3年,业余娱乐健身,暂未使用进攻型球拍,双打前场控球,2,3,2,3,主打高性价比的中端进阶拍,价格差异，性能完全一致,3,3,基础差很难打甜，容易打框、上手门槛太高很难驾驭,价格太高超出预算,1000-1300元,身边球友的实际使用反馈、电商平台的用户评价,优先选择国产高性价比产品,天斧99 TOUR、龙牙之刃、天斧99、天斧100zz、天斧99 PRO,2,希望能出一些重量轻一点、平衡点低的版本，适合我们这些新手业余爱好者用
R004,羽毛球俱乐部教练,文体培训,10-20人小工作室,资深爱好者,低,天斧99、天斧99 TOUR,5年以上,半专业/校队训练比赛,天斧99、天斧99 TOUR,混双后场,4,5,3,5,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,5,5,单拍杀球没杀死就容易陷入被动、中杆过短需要长时间适应,没有阻碍愿意尝试,1900元以上,品牌官方的技术参数宣传、专业博主/测评的实测推荐,只要是品牌正品，产地无所谓,天斧99 PRO、天斧99、天斧100zz、龙牙之刃、天斧99 TOUR,5,建议可以多出几个不同重量规格的版本，方便不同力量水平的学员选择，也能覆盖更多用户群体
R005,自由职业摄影师,文化传媒,个体经营,业余进阶爱好者,中,龙牙之刃、其他进攻型球拍,5年以上,普通爱好者约球,龙牙之刃、其他进攻型球拍,双打后场进攻,3,5,3,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,已经习惯现有球拍的手感不想换、担心68孔的穿线适配问题,担心68孔的穿线适配问题,1300-1600元,身边球友的实际使用反馈、电商平台的用户评价,只要是品牌正品，产地无所谓,龙牙之刃、天斧99 PRO、天斧100zz、天斧99、天斧99 TOUR,4,建议品牌官方可以出配套的68孔专用穿线服务，在全国合作球馆铺开，解决用户怕穿坏拍的顾虑
R006,互联网用户运营,互联网电商,200-500人,羽毛球球龄4年，每周固定2次约球，水平处于业余中上游,中等，愿意为心仪装备付费但不会溢价过多,天斧99 PRO、龙牙之刃,3-5年,普通爱好者约球,天斧99 PRO、龙牙之刃,双打后场进攻,5,5,4,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,5,4,单拍杀球没杀死就容易陷入被动、上手门槛太高很难驾驭,已经习惯现有球拍的手感不想换,1300-1600元,身边球友的实际使用反馈、专业博主/测评的实测推荐,只要是品牌正品，产地无所谓,天斧99 PRO、龙牙之刃、天斧100zz、天斧99、天斧99 TOUR,5,建议新手不要盲目跟风买，最好先找球友的试打几局，确认自己能驾驭再入手，避免买回来打不动闲置
R007,高校校队羽毛球队主力,高等教育,全日制本科院校，在校生2万+,球龄8年，常年参加省级大学生羽毛球赛事，半专业水平,低，装备预算充足，优先选性能顶级的产品,天斧99、天斧100zz,5年以上,半专业/校队训练比赛,天斧99、天斧100zz,单打,5,4,5,3,主打极致单拍重杀的进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,3,中杆过短需要长时间适应、基础差很难打甜，容易打框,没有阻碍愿意尝试,1900元以上,代言球星的使用同款、品牌官方的技术参数宣传,必须日本原产,天斧99 PRO、天斧99、天斧100zz、龙牙之刃、天斧99 TOUR,4,希望后续能推出更多配色的日产版本，同时提升一下品控，减少漆水容易掉的问题
R008,小学体育教师,基础教育,公立小学，在校生1200人左右,球龄2年，平时下班和同事约球，水平刚进阶到中阶,较高，选高端拍优先看性价比，不会买溢价过高的产品,暂未使用进攻型球拍,1-3年,业余娱乐健身,暂未使用进攻型球拍,混双后场,3,4,2,3,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,3,3,基础差很难打甜，容易打框、上手门槛太高很难驾驭,担心自己技术水平驾驭不了,1000-1300元,身边球友的实际使用反馈、电商平台的用户评价,只要是品牌正品，产地无所谓,天斧99 TOUR、天斧99 PRO、天斧99、龙牙之刃、天斧100zz,3,希望能出一些重量更轻的版本，适合我们这种发力不好的业余爱好者使用，降低上手门槛
R009,羽毛球俱乐部专职教练,文体培训,小型羽毛球俱乐部，常驻学员40人左右,球龄12年，持有国羽中级教练证，平时带学员同时打业余赛事,低，装备选耐用、适合教学的款式，价格不是首要考虑因素,天斧99 TOUR、其他进攻型球拍,5年以上,普通爱好者约球,天斧99 TOUR、其他进攻型球拍,双打后场进攻,4,5,3,5,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,5,单拍杀球没杀死就容易陷入被动、上手门槛太高很难驾驭,价格太高超出预算,1300-1600元,身边球友的实际使用反馈、电商平台的用户评价,优先选择国产高性价比产品,龙牙之刃、天斧99 PRO、天斧100zz、天斧99、天斧99 TOUR,4,建议品牌多做一些面向进阶爱好者的轻量化版本，降低上手门槛，同时把价格打下来一点，受众会更广
R010,国企行政专员,能源国企,区域分公司，员工1500人左右,球龄半年，刚报了羽毛球兴趣班，纯新手水平,中等偏低，打算买一支高端拍长期用，预算充足,暂未使用进攻型球拍,1年以内,业余娱乐健身,暂未使用进攻型球拍,双打前场控球,2,2,1,2,主打高性价比的中端进阶拍,重量差异，天斧99 TOUR更轻,3,3,基础差很难打甜，容易打框、上手门槛太高很难驾驭,担心自己技术水平驾驭不了,1600-1900元,身边球友的实际使用反馈、电商平台的用户评价,只要是品牌正品，产地无所谓,天斧100zz、天斧99 PRO、龙牙之刃、天斧99、天斧99 TOUR,3,希望能多出一些新手友好的配色，外观好看一点，适合我们这种刚学球的年轻人用
R011,互联网公司运营,互联网电商,120人,新手进阶,中等,尤尼克斯天斧99 日版,1-3年,普通爱好者约球,天斧99,单打,4,5,5,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,上手门槛太高很难驾驭、基础差很难打甜，容易打框,已经习惯现有球拍的手感不想换,1300-1600元,身边球友的实际使用反馈、专业博主/测评的实测推荐,只要是品牌正品，产地无所谓,天斧99、天斧99 PRO、龙牙之刃、天斧100zz、天斧99 TOUR,4,建议新手不要盲目直接买99PRO，最好先借身边球友的试打几次，确定自己能驾驭再入手
R012,体育学院校队主力队员,高等体育教育,8000人以上综合高校,高阶竞技型,很低,天斧99 PRO、天斧100zz、龙牙之刃,5年以上,半专业/校队训练比赛,天斧99 PRO、天斧100zz、龙牙之刃,双打后场进攻,5,5,4,5,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,5,5,单拍杀球没杀死就容易陷入被动,没有阻碍愿意尝试,1900元以上,专业博主/测评的实测推荐、代言球星的使用同款,必须日本原产,天斧99 PRO、天斧100zz、龙牙之刃、天斧99、天斧99 TOUR,5,建议多出一些3U规格的版本，适合力量大的竞技选手，打起来进攻压迫感会更强
R013,国企行政人员,国有能源行业,2000人以上,资深业余爱好者,中高,龙牙之刃 一代,5年以上,普通爱好者约球,龙牙之刃,混双后场,3,4,5,3,主打极致单拍重杀的进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,3,3,基础差很难打甜，容易打框,价格太高超出预算,1000-1300元,身边球友的实际使用反馈、电商平台的用户评价,只要是品牌正品，产地无所谓,龙牙之刃、天斧99、天斧99 PRO、天斧100zz、天斧99 TOUR,3,希望多搞点促销活动把价格打下来，普通工薪族现在入手压力太大了
R014,羽毛球培训机构驻场教练,体育培训服务,20人小型球馆,专业教练级,一般,天斧99 TOUR、其他进攻型球拍,3-5年,半专业/校队训练比赛,天斧99 TOUR、其他进攻型球拍,双打后场进攻,4,5,4,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,中杆过短需要长时间适应、上手门槛太高很难驾驭,担心自己技术水平驾驭不了,1600-1900元,专业博主/测评的实测推荐、品牌官方的技术参数宣传,优先选择国产高性价比产品,天斧99 TOUR、龙牙之刃、天斧99 PRO、天斧100zz、天斧99,4,建议品牌可以针对入门爱好者推出更多中低价位的同系列进攻拍，降低上手门槛，受众会更广
R015,互联网公司实习生,互联网游戏,60人创业公司,纯入门新手,很高,超市买的入门娱乐拍,1年以内,业余娱乐健身,暂未使用进攻型球拍,双打前场控球,2,3,2,3,主打速度的双打后场拍,重量差异，天斧99 TOUR更轻,3,3,基础差很难打甜，容易打框,担心自己技术水平驾驭不了,1000-1300元,身边球友的实际使用反馈、电商平台的用户评价,只要是品牌正品，产地无所谓,天斧99 TOUR、天斧99、龙牙之刃、天斧99 PRO、天斧100zz,2,新手真的不建议直接买这么贵的高端进攻拍，先从入门拍练技术，等动作标准了再考虑入手
R016,互联网公司产品运营,互联网,200-500人,球龄2年的普通业余爱好者，每周打球2次,中等，愿意为心仪装备付费但不会超太多预算,天斧100zz、其他进攻型球拍,1-3年,普通爱好者约球,天斧100zz、其他进攻型球拍,双打后场进攻,4,5,3,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,上手门槛太高很难驾驭、单拍杀球没杀死就容易陷入被动,已经习惯现有球拍的手感不想换,1300-1600元,身边球友的实际使用反馈、专业博主/测评的实测推荐,只要是品牌正品，产地无所谓,天斧100zz、天斧99 PRO、龙牙之刃、天斧99、天斧99 TOUR,4,建议官方多出一些更年轻化的配色，现在的配色太偏中老年竞技风，年轻球友选择太少
R017,高校羽毛球校队主力队员,高等教育,在校学生，所属大学规模约15000人,球龄6年，半专业训练，每周训练6次,低，装备预算充足，优先看性能,天斧99 PRO、龙牙之刃,5年以上,半专业/校队训练比赛,天斧99 PRO、龙牙之刃,单打,5,5,5,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,5,5,单拍杀球没杀死就容易陷入被动、中杆过短需要长时间适应,没有阻碍愿意尝试,1900元以上,品牌官方的技术参数宣传、身边球友的实际使用反馈,必须日本原产,天斧99 PRO、龙牙之刃、天斧100zz、天斧99、天斧99 TOUR,5,建议官方能推出4U甚至5U版本的天斧99PRO，适合力量稍弱的单打选手使用，受众面会更广
R018,小学体育教师,教育,所属小学师生规模约2000人,球龄4年，每周打球1-2次,高，追求高性价比，不愿意在球拍上花太多钱,天斧99 TOUR,3-5年,普通爱好者约球,天斧99 TOUR,混双后场,3,3,2,2,主打高性价比的中端进阶拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,3,3,基础差很难打甜，容易打框、上手门槛太高很难驾驭,价格太高超出预算,1000-1300元,身边球友的实际使用反馈、电商平台的用户评价,优先选择国产高性价比产品,天斧99 TOUR、天斧99、龙牙之刃、天斧99 PRO、天斧100zz,3,希望YONEX能多推出一些千元以内的中端进攻拍，价格亲民点，我们普通业余爱好者也能体验到天斧系列的手感
R019,自由职业摄影师,文创传媒,个人工作室，团队规模3人,球龄8年，每周打球3次,低，收入高，买装备不看价格只看喜好,天斧99,5年以上,业余娱乐健身,天斧99、其他进攻型球拍,单打,3,4,4,3,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,中杆过短需要长时间适应,没有阻碍愿意尝试,1600-1900元,专业博主/测评的实测推荐、电商平台的用户评价,只要是品牌正品，产地无所谓,天斧99、天斧99 PRO、龙牙之刃、天斧100zz、天斧99 TOUR,4,建议官方可以推出天斧99PRO的复古配色版本，致敬老款天斧99的太阳橙配色，老玩家肯定会买单
R020,羽毛球培训机构助教,文体培训,机构总人数约50人,球龄3年，每周教学+打球共5次,中等，装备要好用耐用，性价比适中就行,暂未使用进攻型球拍,3-5年,半专业/校队训练比赛,暂未使用进攻型球拍,双打后场进攻,4,5,3,4,主打连续稳定进攻的综合进攻拍,材质差异，天斧99 TOUR约有天斧99 PRO 60%-70%的手感,4,4,基础差很难打甜，容易打框、上手门槛太高很难驾驭,担心自己技术水平驾驭不了,1300-1600元,身边球友的实际使用反馈、专业博主/测评的实测推荐、品牌官方的技术参数宣传,只要是品牌正品，产地无所谓,天斧99 PRO、天斧100zz、龙牙之刃、天斧99、天斧99 TOUR,4,建议官方可以多出一些针对进阶爱好者的轻量化版本的天斧99PRO，降低上手门槛，受众面会大很多，适合更多业余进阶球友使用
